47.517900	0.342989	0.069193
56.304739	0.393461	0.069193
65.091577	0.427899	0.070572
73.878416	0.454483	0.076793
82.665255	0.475342	0.081662
91.452094	0.492691	0.085552
100.238932	0.506927	0.088586
109.025771	0.519049	0.091612
117.812610	0.529311	0.093648
126.599449	0.537994	0.095660
135.386287	0.545528	0.097150
144.173126	0.552112	0.098302
152.959965	0.556648	0.099995
161.746804	0.561683	0.100629
170.533642	0.567825	0.101673
179.320481	0.570032	0.103118
188.107320	0.573258	0.103104
196.894159	0.577017	0.103689
205.680998	0.578427	0.104186
214.467836	0.579284	0.105449
223.254675	0.582107	0.105001
232.041514	0.582690	0.105357
240.828353	0.584410	0.106722
249.615191	0.586130	0.107535
258.402030	0.587850	0.107770
267.188869	0.589570	0.108005
275.975708	0.591290	0.108240
284.762546	0.593010	0.108475
293.549385	0.594730	0.108711
302.336224	0.596450	0.108946
311.123063	0.598170	0.109082
319.909901	0.599890	0.109082
328.696740	0.601610	0.109082
