500		294.715	294.696	293.725	292.774	291.760	290.682	289.533	288.300	285.976	284.588	283.077	281.488	279.775	277.947	276.006	273.948	271.769	269.455	266.985	264.410	261.678	258.802	255.789	252.639	249.342	245.900	241.342	237.643	233.815	229.876	225.840	220.724	216.549	212.348	207.180	203.138	198.399	194.339
 0.0	-83.975	-83.976	-83.992	-84.006	-84.021	-84.038	-84.054	-84.071	-40.831	-43.403	-46.286	-49.517	-53.016	-56.635	-60.154	-63.425	-66.441	-69.246	-71.823	-74.100	-76.011	-77.617	-78.971	-80.052	-80.896	-81.559	-47.861	-58.892	-67.154	-72.967	-76.759	-42.506	-59.786	-70.975	-46.324	-67.424	-58.467	-60.629
 1.0	-27.320	-27.416	-29.189	-30.844	-32.569	-34.463	-36.404	-38.517	20.476	19.982	19.435	18.852	18.273	17.754	17.301	16.834	16.116	14.809	12.526	 9.084	 5.057	 1.501	-2.809	-11.468	-25.019	-36.889	 8.417	 6.054	-0.172	-7.471	-23.032	 1.311	-5.512	-19.181	-6.049	-23.614	-18.932	-27.270
 2.0	22.485	22.478	22.301	22.100	21.874	21.599	21.275	20.907	21.709	21.528	21.325	21.094	20.832	20.532	20.193	19.816	19.394	18.919	18.360	17.674	16.819	15.848	14.854	13.783	12.225	10.156	12.861	11.261	 9.214	 7.087	 4.254	 5.641	 2.370	-1.195	-1.813	-6.304	-8.578	-12.760
 3.0	22.593	22.593	22.492	22.386	22.274	22.152	22.017	21.870	20.372	20.298	20.215	20.122	20.016	19.894	19.752	19.585	19.389	19.155	18.878	18.543	18.133	17.628	17.014	16.271	15.354	14.210	14.840	13.767	12.369	10.603	 8.343	 8.944	 6.039	 2.356	 1.467	-3.491	-6.431	-10.709
 4.0	20.752	20.753	20.707	20.659	20.610	20.558	20.501	20.439	17.436	17.436	17.441	17.450	17.463	17.480	17.498	17.516	17.531	17.537	17.527	17.489	17.410	17.272	17.054	16.732	16.280	15.661	15.041	14.574	13.824	12.707	11.121	11.072	 8.924	 5.756	 4.703	-0.521	-3.910	-8.952
 5.0	17.519	17.519	17.500	17.483	17.468	17.456	17.446	17.439	14.994	14.976	14.964	14.957	14.958	14.966	14.983	15.009	15.046	15.093	15.149	15.213	15.282	15.350	15.406	15.434	15.411	15.296	13.810	13.776	13.610	13.210	12.429	11.708	10.556	 8.364	 7.232	 2.627	-0.991	-6.737
 6.0	15.197	15.197	15.162	15.130	15.098	15.069	15.041	15.016	13.485	13.436	13.391	13.349	13.313	13.282	13.260	13.246	13.243	13.253	13.275	13.312	13.365	13.432	13.513	13.602	13.693	13.769	12.390	12.475	12.520	12.474	12.254	11.314	10.836	 9.704	 8.571	 5.300	 1.889	-4.171
 7.0	13.855	13.855	13.800	13.748	13.694	13.641	13.588	13.536	12.643	12.565	12.487	12.410	12.336	12.266	12.200	12.141	12.090	12.049	12.020	12.005	12.007	12.026	12.065	12.124	12.202	12.293	11.223	11.312	11.404	11.473	11.472	10.637	10.475	 9.938	 8.960	 6.964	 4.204	-1.480
 8.0	13.170	13.169	13.095	13.025	12.951	12.876	12.800	12.722	12.257	12.152	12.047	11.940	11.833	11.726	11.622	11.521	11.425	11.336	11.255	11.185	11.130	11.091	11.071	11.073	11.099	11.150	10.363	10.410	10.480	10.563	10.632	 9.960	 9.939	 9.707	 8.924	 7.694	 5.602	 0.983
 9.0	12.915	12.914	12.825	12.739	12.649	12.555	12.458	12.359	12.177	12.052	11.923	11.792	11.657	11.521	11.384	11.247	11.112	10.980	10.853	10.734	10.625	10.530	10.450	10.391	10.354	10.345	 9.785	 9.773	 9.792	 9.841	 9.906	 9.387	 9.411	 9.326	 8.717	 7.944	 6.339	 2.804
10.0	12.941	12.940	12.839	12.740	12.636	12.528	12.415	12.298	12.299	12.158	12.011	11.860	11.704	11.544	11.380	11.214	11.047	10.880	10.715	10.553	10.398	10.251	10.117	10.000	 9.903	 9.830	 9.440	 9.365	 9.324	 9.318	 9.344	 8.951	 8.966	 8.935	 8.466	 7.963	 6.718	 3.959
11.0	13.144	13.143	13.033	12.924	12.811	12.691	12.566	12.435	12.550	12.396	12.236	12.069	11.896	11.718	11.534	11.345	11.152	10.957	10.760	10.563	10.369	10.180	 9.999	 9.831	 9.678	 9.546	 9.278	 9.143	 9.041	 8.976	 8.947	 8.649	 8.628	 8.599	 8.234	 7.881	 6.902	 4.700
12.0	13.455	13.454	13.337	13.222	13.100	12.972	12.837	12.697	12.878	12.715	12.544	12.367	12.181	11.989	11.789	11.582	11.370	11.152	10.931	10.706	10.481	10.257	10.037	 9.825	 9.624	 9.440	 9.255	 9.067	 8.908	 8.784	 8.698	 8.466	 8.397	 8.342	 8.051	 7.772	 6.986	 5.192
13.0	13.828	13.827	13.704	13.584	13.457	13.322	13.181	13.033	13.250	13.080	12.903	12.716	12.522	12.319	12.107	11.888	11.660	11.425	11.184	10.938	10.688	10.435	10.184	 9.936	 9.695	 9.467	 9.336	 9.102	 8.892	 8.713	 8.570	 8.384	 8.263	 8.167	 7.925	 7.674	 7.025	 5.532
14.0	14.234	14.232	14.106	13.982	13.850	13.711	13.565	13.411	13.646	13.471	13.288	13.096	12.894	12.683	12.463	12.234	11.995	11.747	11.491	11.228	10.958	10.683	10.406	10.129	 9.855	 9.589	 9.492	 9.218	 8.964	 8.736	 8.542	 8.382	 8.211	 8.068	 7.855	 7.605	 7.051	 5.781
15.0	14.654	14.652	14.523	14.396	14.261	14.119	13.969	13.811	14.051	13.873	13.686	13.489	13.283	13.066	12.839	12.602	12.355	12.098	11.831	11.554	11.269	10.977	10.679	10.379	10.078	 9.781	 9.703	 9.395	 9.102	 8.832	 8.590	 8.445	 8.225	 8.036	 7.838	 7.571	 7.082	 5.978
16.0	15.079	15.077	14.945	14.816	14.679	14.534	14.381	14.221	14.460	14.279	14.089	13.889	13.678	13.457	13.226	12.983	12.729	12.465	12.189	11.902	11.605	11.300	10.986	10.666	10.343	10.021	 9.951	 9.614	 9.289	 8.982	 8.698	 8.558	 8.293	 8.058	 7.865	 7.573	 7.127	 6.146
17.0	15.503	15.501	15.367	15.236	15.097	14.950	14.795	14.632	14.868	14.685	14.492	14.289	14.075	13.851	13.616	13.369	13.110	12.839	12.557	12.263	11.956	11.640	11.313	10.978	10.637	10.294	10.226	 9.865	 9.512	 9.172	 8.852	 8.709	 8.404	 8.126	 7.930	 7.608	 7.188	 6.299
18.0	15.924	15.922	15.786	15.653	15.512	15.364	15.207	15.042	15.272	15.087	14.892	14.687	14.471	14.244	14.006	13.755	13.492	13.217	12.929	12.629	12.315	11.990	11.653	11.306	10.950	10.589	10.518	10.137	 9.760	 9.392	 9.040	 8.889	 8.548	 8.231	 8.026	 7.672	 7.267	 6.445
19.0	16.340	16.337	16.200	16.066	15.923	15.773	15.615	15.448	15.672	15.485	15.289	15.082	14.864	14.634	14.393	14.140	13.874	13.595	13.303	12.997	12.678	12.345	11.999	11.642	11.275	10.899	10.822	10.423	10.025	 9.633	 9.252	 9.091	 8.716	 8.363	 8.145	 7.761	 7.361	 6.590
20.0	16.750	16.748	16.609	16.473	16.330	16.178	16.018	15.850	16.067	15.879	15.681	15.472	15.252	15.021	14.777	14.522	14.253	13.971	13.675	13.365	13.040	12.702	12.349	11.983	11.605	11.218	11.133	10.719	10.303	 9.889	 9.483	 9.308	 8.904	 8.518	 8.284	 7.869	 7.469	 6.735
21.0	17.155	17.152	17.012	16.875	16.730	16.577	16.416	16.246	16.457	16.268	16.068	15.857	15.636	15.403	15.157	14.899	14.628	14.343	14.044	13.730	13.401	13.058	12.699	12.326	11.939	11.541	11.447	11.019	10.587	10.155	 9.726	 9.536	 9.105	 8.689	 8.437	 7.993	 7.588	 6.881
22.0	17.553	17.551	17.409	17.271	17.125	16.971	16.808	16.637	16.842	16.651	16.449	16.238	16.014	15.780	15.532	15.272	14.999	14.711	14.409	14.092	13.760	13.411	13.047	12.668	12.274	11.866	11.762	11.323	10.876	10.426	 9.978	 9.772	 9.316	 8.872	 8.601	 8.130	 7.715	 7.028
23.0	17.946	17.943	17.801	17.661	17.514	17.359	17.195	17.023	17.221	17.028	16.826	16.613	16.388	16.152	15.903	15.641	15.365	15.075	14.770	14.450	14.114	13.762	13.393	13.008	12.607	12.191	12.076	11.626	11.167	10.701	10.235	10.011	 9.533	 9.063	 8.772	 8.275	 7.849	 7.175
24.0	18.333	18.330	18.186	18.046	17.897	17.741	17.576	17.403	17.595	17.401	17.198	16.983	16.757	16.519	16.269	16.005	15.727	15.435	15.128	14.805	14.465	14.109	13.735	13.345	12.938	12.514	12.389	11.929	11.457	10.978	10.494	10.254	 9.754	 9.260	 8.948	 8.427	 7.987	 7.322
25.0	18.714	18.711	18.567	18.425	18.276	18.118	17.953	17.778	17.965	17.770	17.565	17.350	17.122	16.883	16.630	16.365	16.085	15.790	15.481	15.155	14.812	14.452	14.074	13.679	13.266	12.835	12.699	12.230	11.747	11.254	10.755	10.496	 9.977	 9.461	 9.127	 8.583	 8.128	 7.467
