47.517900	277.584557
51.948372	278.524838
57.004812	282.114444
62.305124	286.213355
67.787036	290.401376
73.424546	294.553160
79.219484	298.629059
85.128632	302.591135
91.180436	306.472470
97.355965	310.237885
103.682875	313.896910
110.190562	317.417820
116.857854	320.772657
123.608950	323.973675
130.752127	327.108050
137.403094	329.843802
145.555071	333.105285
150.523598	334.787656
160.525900	339.811357
163.958713	339.574151
174.966876	346.204498
183.183999	345.082512
191.381971	346.822008
199.013098	348.545745
208.014484	350.858875
212.005493	351.745728
224.289125	357.702500
230.114172	355.378138
