500		359.664	362.017	355.988	355.090	352.749	351.005	349.244	350.380	343.670	343.910	338.825	337.123	333.822	331.053	327.881	324.641	321.246	317.683	313.979	310.169	306.240	302.231	298.106	293.904	289.665	285.517	281.884	280.932
20.0	10.734	13.450	11.375	13.309	13.027	12.853	12.630	12.448	11.698	12.471	12.301	12.090	11.933	11.734	11.712	11.498	11.274	11.031	10.764	10.464	10.291	 9.893	 9.368	 8.909	 7.817	 6.521	 4.111	-1.075
21.0	10.627	13.675	11.206	13.534	13.233	13.055	12.812	12.619	11.524	12.675	12.491	12.279	12.115	11.911	11.887	11.668	11.439	11.193	10.925	10.627	10.457	10.081	 9.601	 9.187	 8.207	 7.035	 4.832	-0.088
22.0	10.563	13.902	11.078	13.762	13.443	13.261	13.001	12.800	11.361	12.881	12.686	12.472	12.301	12.092	12.065	11.841	11.606	11.356	11.085	10.787	10.618	10.257	 9.814	 9.436	 8.552	 7.490	 5.481	 0.857
23.0	10.535	14.130	10.989	13.989	13.654	13.470	13.192	12.985	11.225	13.089	12.882	12.667	12.491	12.276	12.245	12.015	11.775	11.520	11.245	10.945	10.775	10.425	10.010	 9.663	 8.859	 7.893	 6.064	 1.753
24.0	10.539	14.357	10.935	14.215	13.865	13.680	13.385	13.175	11.120	13.297	13.078	12.864	12.682	12.461	12.424	12.189	11.944	11.683	11.404	11.102	10.928	10.585	10.193	 9.872	 9.134	 8.252	 6.585	 2.593
25.0	10.569	14.580	10.912	14.438	14.074	13.889	13.577	13.365	11.048	13.503	13.274	13.059	12.872	12.646	12.603	12.362	12.111	11.846	11.562	11.256	11.078	10.740	10.366	10.065	 9.383	 8.572	 7.051	 3.374
26.0	10.622	14.800	10.917	14.657	14.280	14.095	13.768	13.555	11.006	13.707	13.467	13.253	13.061	12.830	12.779	12.533	12.278	12.007	11.718	11.408	11.224	10.890	10.530	10.245	 9.609	 8.860	 7.468	 4.092
27.0	10.693	15.014	10.944	14.870	14.482	14.297	13.956	13.744	10.992	13.906	13.656	13.444	13.247	13.012	12.953	12.702	12.441	12.165	11.872	11.557	11.367	11.034	10.686	10.413	 9.817	 9.121	 7.841	 4.750
28.0	10.779	15.223	10.990	15.078	14.678	14.495	14.141	13.929	11.002	14.101	13.842	13.631	13.430	13.190	13.122	12.867	12.601	12.321	12.022	11.703	11.506	11.174	10.834	10.572	10.008	 9.356	 8.176	 5.348
29.0	10.877	15.425	11.053	15.279	14.869	14.688	14.321	14.111	11.033	14.290	14.022	13.813	13.608	13.364	13.287	13.028	12.757	12.472	12.169	11.845	11.640	11.309	10.976	10.720	10.185	 9.571	 8.477	 5.891
30.0	10.986	15.619	11.129	15.473	15.053	14.874	14.496	14.287	11.081	14.473	14.197	13.990	13.781	13.533	13.447	13.184	12.909	12.620	12.312	11.984	11.771	11.438	11.111	10.861	10.348	 9.767	 8.748	 6.380
31.0	11.103	15.805	11.216	15.658	15.230	15.054	14.665	14.459	11.144	14.650	14.366	14.160	13.949	13.697	13.602	13.335	13.056	12.762	12.450	12.118	11.896	11.563	11.240	10.993	10.501	 9.946	 8.993	 6.822
32.0	11.227	15.983	11.312	15.836	15.400	15.226	14.828	14.624	11.220	14.819	14.528	14.325	14.110	13.855	13.751	13.480	13.197	12.900	12.584	12.247	12.017	11.682	11.363	11.118	10.643	10.111	 9.215	 7.219
33.0	11.354	16.152	11.416	16.004	15.562	15.391	14.984	14.782	11.305	14.981	14.684	14.482	14.265	14.007	13.893	13.619	13.333	13.031	12.712	12.371	12.132	11.796	11.480	11.235	10.775	10.263	 9.416	 7.577
34.0	11.483	16.312	11.525	16.164	15.716	15.547	15.133	14.934	11.399	15.135	14.832	14.633	14.413	14.152	14.029	13.751	13.462	13.158	12.834	12.490	12.242	11.904	11.590	11.345	10.898	10.403	 9.599	 7.899
35.0	11.613	16.463	11.637	16.314	15.861	15.696	15.275	15.078	11.498	15.280	14.973	14.776	14.554	14.290	14.157	13.878	13.586	13.278	12.951	12.603	12.347	12.007	11.695	11.448	11.013	10.532	 9.766	 8.189
36.0	11.742	16.604	11.750	16.456	15.999	15.836	15.410	15.214	11.602	15.418	15.106	14.911	14.687	14.422	14.279	13.997	13.703	13.392	13.062	12.711	12.446	12.105	11.793	11.545	11.119	10.650	 9.918	 8.450
37.0	11.870	16.737	11.864	16.588	16.127	15.968	15.537	15.343	11.709	15.547	15.231	15.039	14.813	14.546	14.394	14.110	13.813	13.500	13.167	12.813	12.539	12.196	11.886	11.635	11.218	10.759	10.056	 8.685
38.0	11.996	16.860	11.976	16.710	16.248	16.091	15.656	15.465	11.816	15.668	15.349	15.158	14.932	14.662	14.502	14.216	13.917	13.601	13.266	12.909	12.627	12.282	11.972	11.719	11.310	10.859	10.182	 8.898
39.0	12.120	16.974	12.088	16.824	16.359	16.206	15.768	15.578	11.922	15.781	15.459	15.270	15.043	14.772	14.602	14.315	14.014	13.696	13.359	12.999	12.709	12.362	12.053	11.797	11.395	10.951	10.297	 9.090
40.0	12.242	17.078	12.198	16.928	16.463	16.312	15.872	15.684	12.027	15.885	15.561	15.374	15.146	14.874	14.696	14.407	14.104	13.785	13.445	13.084	12.785	12.437	12.128	11.868	11.472	11.035	10.401	 9.263
41.0	12.361	17.174	12.305	17.024	16.558	16.410	15.969	15.782	12.130	15.981	15.655	15.470	15.241	14.968	14.782	14.492	14.188	13.867	13.525	13.162	12.855	12.506	12.197	11.934	11.543	11.112	10.496	 9.419
